campaign_name,Product Line,month,year,sales,spend,impressions,clicks,conversions,acos,
SB Homepage Perpetua,Yak Chew,12,2021,311.25,176.93,94654,88,15,0.568449799,spend/sales
Native Pet Allergy - SBV - Category - Perpetua - SBV - KW - t3jtg2t2,Allergy,12,2021,989.69,2018.27,15793,267,30,2.039295133,
Native Pet Allergy + Omega Oil Bundle,Allergy,12,2021,860.64,1550.51,261081,461,35,1.801577896,
Native Pet Pumpkin - SBV - Competitor - Perpetua - SBV - KW - 72m8ryzc,Pumpkin,12,2021,0,3.6,107,4,0,,
Native Pet Pumpkin - SBV - Category - Perpetua - SBV - KW - ca3iq4xx,Pumpkin,12,2021,6359.18,2029.45,65741,1209,277,0.319137059,
Native Pet Bladder- SBV - Category - Perpetua - SBV - KW - hn3n9rg6,Bladder,12,2021,1724.42,1293.79,14694,198,59,0.750275455,
Bone Broth Testimonial v 1 Lucas,Bone Broth,12,2021,1241.43,452.4,31165,467,60,0.364418453,
Native Pet Bladder - SBV - Competitor - Perpetua - SBV - KW - l8jiqvjp,Bladder,12,2021,0,2.04,208,1,0,,
Native Pet Omega Oil - Perpetua - SBV - v1,Omega Oil,12,2021,3037.86,2060.56,28225,734,209,0.678293272,
Yak Chew SB _ Perpetua,Yak Chew,12,2021,8353.6,2559.52,209744,895,231,0.306397242,
Native Pet Allergy - SBV - Competitor - Perpetua - SBV - KW - x8ra8j58,Allergy,12,2021,387.76,517.98,5104,70,14,1.335826284,
Pumpkin SBV - Perpetua - SB - v1,Pumpkin,12,2021,645.74,293.44,16959,187,25,0.454424381,
SB Belly Bundle,Pumpkin,12,2021,2844.29,1944.97,108395,683,121,0.683815645,
Probiotic SBV - Perpetua - SB - v1,Probiotic,12,2021,2358.62,935.36,21437,334,76,0.396570876,
SB Homepage Perpetua,Yak Chew,11,2021,178.93,138.73,77854,72,8,0.775331135,
SB Belly Bundle,Probiotic,11,2021,2740.87,2006.86,200319,952,111,0.732198171,
Native Pet Pumpkin - SBV - Competitor - Perpetua - SBV - KW - 72m8ryzc,Pumpkin,11,2021,181.93,61.74,1223,30,7,0.339361293,
Pumpkin SBV - Perpetua - SB - v1,Pumpkin,11,2021,945.59,456.09,36253,298,41,0.482333781,
Yak Chew SB _ Perpetua,Yak Chew,11,2021,7185.93,2493.87,89381,729,204,0.347049025,
Native Pet Bladder- SBV - Category - Perpetua - SBV - KW - hn3n9rg6,Bladder,11,2021,1241.58,1063.61,10781,163,42,0.856658451,
Native Pet Omega Oil - Perpetua - SBV - v1,Omega Oil,11,2021,2841.97,2015.78,30024,770,202,0.709289683,
Probiotic SBV - Perpetua - SB - v1,Probiotic,11,2021,1636.41,814.03,15082,288,58,0.497448683,
Native Pet Bladder - SBV - Competitor - Perpetua - SBV - KW - l8jiqvjp,Bladder,11,2021,0,0,42,0,0,,
Native Pet Allergy - SBV - Category - Perpetua - SBV - KW - t3jtg2t2,Allergy,11,2021,1349.55,1959.89,12622,273,44,1.452254455,
Bone Broth Testimonial v 1 Lucas,Bone Broth,11,2021,719.68,381.26,26597,380,31,0.529763228,
Native Pet Allergy + Omega Oil Bundle,Allergy,11,2021,0,50.01,1545,10,0,,
Native Pet Pumpkin - SBV - Category - Perpetua - SBV - KW - ca3iq4xx,Pumpkin,11,2021,5645.44,2167.49,111257,1373,249,0.383936416,
Native Pet Allergy - SBV - Competitor - Perpetua - SBV - KW - x8ra8j58,Allergy,11,2021,95.97,66.96,435,12,3,0.697718037,
Native Pet Pumpkin - SBV - Competitor - Perpetua - SBV - KW - 72m8ryzc,Pumpkin,10,2021,213.9,98.7,5035,67,7,0.461430575,
Native Pet Allergy - SBV - Competitor - Perpetua - SBV - KW - x8ra8j58,Allergy,10,2021,63.98,54.01,455,12,2,0.844170053,
Native Pet Bladder - SBV - Competitor - Perpetua - SBV - KW - l8jiqvjp,Bladder,10,2021,0,0,59,0,0,,
Native Pet Bladder- SBV - Category - Perpetua - SBV - KW - hn3n9rg6,Bladder,10,2021,659.78,706.06,14506,122,22,1.070144594,
Native Pet Allergy - SBV - Category - Perpetua - SBV - KW - t3jtg2t2,Allergy,10,2021,1373.57,2015,16279,282,42,1.466980205,
Probiotic SBV - Perpetua - SB - v1,Probiotic,10,2021,1187.58,746.22,15963,218,41,0.628353458,
Pumpkin SBV - Perpetua - SB - v1,Pumpkin,10,2021,2183.5,1797.16,358997,1482,97,0.823063888,
SB Homepage Perpetua,Yak Chew,10,2021,202.92,201.94,225744,127,8,0.995170511,
Native Pet Omega Oil - Perpetua - SBV - v1,Omega Oil,10,2021,2566.81,2080.33,47963,901,165,0.810472922,
Yak Chew SB _ Perpetua,Yak Chew,10,2021,9760.54,2364.89,101594,874,237,0.242290898,
Native Pet Hip & Joint SBV - Perpetua - SBV - v1,Hip & Joint,10,2021,67.47,60.22,6975,30,3,0.892544835,
SB Belly Bundle,Pumpkin,10,2021,4582.51,4178.99,589500,2075,198,0.911943455,
Native Pet Pumpkin - SBV - Category - Perpetua - SBV - KW - ca3iq4xx,Pumpkin,10,2021,5647.99,2326.84,222224,1543,239,0.41197665,
Bone Broth Testimonial v 1 Lucas,Bone Broth,10,2021,703.69,333.38,29310,328,31,0.473759752,
