Product,1,7,8,9,10,11,12
Allergy,,31.542587412587377,31.19422885572122,31.27593749999982,30.71924006908458,29.931237623762357,30.013571428571908
Bladder,,29.574297029702787,28.850562310030437,28.082508833922088,28.454367469879564,28.186405594405716,26.702868741542723
Bone Broth,33.99,22.596285714285564,22.417985347985354,22.84712460063881,24.05934900542478,23.285167682926662,23.022547864506457
Calm for Dogs,,,,,21.989999999999817,20.638404696133165,20.56444137931017
Hip & Joint,,24.990000000000006,24.349230769230775,25.484851485148482,23.161463414634152,-18.7425,
Omega Oil,,12.966223893065818,13.26011313639239,13.454787914003774,13.72256240448339,13.880452442159845,13.97175726335575
Probiotic,29.99,29.43393258426948,28.174602774275172,28.673538461539035,28.626193045563404,28.57307259713665,30.590519412381497
Pumpkin,19.99,22.000584354382582,21.93813828195145,22.468198170731764,21.84078954762597,23.34674959083458,23.053234355044587
Relief for Dogs,,,,,23.990000000000006,24.37693548387081,23.672951541850054
Yak Chew,17.99,23.368885714285284,26.079275147928804,25.13087621287927,26.087273925653708,26.96602862254213,26.662484618169607
