month,Adjustment,Brand fees,Order,Refund,coupon
1,10141.240000000038,-6467.250000000003,-137130.75999999867,1638.4400000000012,-115.8
2,34934.019999999764,-6879.199999999997,-129523.40999999558,1290.3600000000004,-87.60000000000002
3,17404.34999999999,-11310.839999999997,-155336.50000000533,1756.9800000000023,-50.4
4,9371.450000000004,-6322.539999999999,-162123.35000000815,1661.5300000000004,-548.4
5,4781.800000000007,-16086.66,-168915.83000001116,1686.3700000000022,-268.79999999999995
6,9121.51000000004,-15187.869999999997,-183232.7400000137,2007.4600000000016,-267.59999999999997
7,7924.309999999985,-8069.089999999999,-166628.59000000663,1520.4800000000014,-270.0000000000002
8,5108.339999999985,-3891.3500000000004,-76091.98999999788,775.0999999999998,-167.9999999999999
9,2832.6000000000004,-3150.6099999999997,-96425.71999999772,1095.1599999999999,-1007.4000000000016
10,5943.960000000007,-5412.760000000003,-96713.28999999599,858.3600000000001,-127.79999999999994
11,3905.449999999999,-6317.27,-96862.33999999714,1124.6000000000006,-290.99999999999994
12,4343.170000000001,-4181.369999999998,-110734.32999999722,1037.1000000000004,-276.59999999999997
