Sku,1,2,3,4,5,6,7,8,9,10,11,12
10.8oz_Beef,2957.1299999999947,67.98,2483.269999999998,2447.279999999998,2141.37,2413.2899999999986,2787.179999999996,4112.789999999987,4078.799999999988,3942.839999999989,4894.559999999982,3874.8599999999888
10_Extra Large_Yak,13938.35999999997,14703.269999999968,14533.289999999968,11643.629999999976,12578.519999999975,12478.559999999974,10973.779999999979,12328.629999999976,12238.639999999976,14038.439999999971,17638.039999999986,18897.90000000001
10_Large_Yak,22886.7300000001,23656.62000000012,22746.750000000102,20577.06000000005,19107.270000000015,21556.920000000067,22606.7700000001,22816.740000000103,24706.47000000014,25686.33000000017,27996.000000000215,33385.230000000294
10_Medium_Yak,35092.980000000345,37142.57000000027,37242.55000000026,34593.080000000366,33693.26000000041,34743.05000000038,28594.280000000315,37442.51000000028,34943.01000000038,41041.79000000012,45640.86999999996,47640.469999999885
13-3B0D-U7XZ,,,,,,,,,,743.6900000000002,23.99,
3_Extra Large_Yak,11666.109999999931,12044.979999999929,15654.779999999902,10526.489999999942,6597.799999999968,11156.279999999935,14395.199999999913,10946.349999999939,14065.309999999916,14485.169999999913,17124.28999999993,20033.320000000083
3_Large_Yak,12120.149999999914,10795.679999999926,15468.809999999887,17218.10999999993,19792.080000000093,15968.60999999988,15593.759999999884,19692.120000000086,18917.43000000003,17967.809999999972,20216.910000000098,23990.400000000336
5.4oz_Beef,6347.079999999957,4522.939999999978,3543.399999999986,3263.5099999999898,3068.6299999999906,2973.6699999999914,2938.7099999999923,6616.899999999953,4243.049999999979,3168.5799999999904,3593.3899999999867,4428.129999999979
5_Small_Yak,10612.919999999876,9173.8799999999,11991.999999999858,11107.589999999871,12186.869999999855,11827.10999999986,14855.089999999818,13326.109999999837,14060.619999999828,13865.749999999834,16099.2599999998,19606.92000000012
6oz_Broth,11339.239999999898,8500.67999999993,10199.839999999915,8140.879999999935,7506.1899999999405,7491.199999999943,6776.54999999995,9315.269999999922,7221.329999999944,7006.4399999999505,7236.319999999943,7001.379999999946
9C-O5JI-5W9H,41781.700000000164,37321.0200000004,41500.79000000012,50611.109999999695,50067.26999999972,50339.18999999966,51460.85999999956,62133.71999999913,64614.98999999892,61215.989999999125,64386.04999999904,60196.28999999919
DR-OLT5-HOKW,4472.269999999959,6342.7099999999255,9939.709999999859,12349.699999999815,11030.799999999841,14879.58999999977,14112.229999999783,16953.85999999982,16774.00999999979,17865.099999999937,16929.879999999815,18537.090000000026
NT-RGS9-UUR2,8797.799999999965,10117.469999999958,11277.179999999951,11117.219999999952,11277.179999999951,12796.799999999943,9557.60999999996,12716.819999999943,13556.609999999939,16235.939999999924,18555.36000000001,21554.61000000011
PR-ADC-Calm60,,,,,,,,,,13523.849999999888,31093.860000000906,15414.989999999869
PR-ADC-Calm60_MF,,,,,,,,,,1583.2800000000004,109.94999999999999,43.98
PR-ALLERJ-8.2,,,,,944.7300000000001,489.86000000000007,,,,,,769.7800000000001
PR-ALLERJ-8.2_FBA,,,,,,11094.61999999994,19510.90000000004,14523.459999999917,16058.979999999907,19513.900000000056,20473.6000000001,30264.090000000528
PR-BLJ-7.5,,,,,909.7400000000001,279.92,29.99,59.98,59.98,29.99,89.97,59.98
PR-BLJ-7.5_FBA,,,,,,7262.659999999963,16194.599999999899,20213.26000000009,16974.339999999927,20123.290000000092,21082.970000000136,20963.010000000133
PR-HJJ-60,2219.2599999999993,84.97,,,24.99,,,,,749.7000000000002,-124.94999999999999,
PR-OO-16,259.87,39.98,19.99,39.98,,19.99,39.98,0.0,19.99,119.93999999999998,59.97,0.0
PR-OO-8,731.3900000000004,23.98,23.979999999999997,23.98,23.98,23.98,11.99,11.99,23.98,47.96,143.88,83.92999999999999
PR-Pro-16.4,,,,,,,,,,,1195.77,11957.699999999959
PR-Pro-8.2,19613.460000000065,17874.039999999975,16764.40999999992,22149.08000000019,22060.590000000186,22445.960000000206,29052.760000000548,35188.660000000615,40987.2400000002,58414.41999999908,64671.84999999868,55853.30999999925
PR-Rlf-60ct,,,,,,,,,,119.94999999999999,10075.79999999993,11491.209999999917
Q2-XMV2-E15G,,,1979.3400000000004,-89.97,,,,,,,,
QM-BN2C-I2R9,31356.570000001087,33533.36000000116,37581.110000000706,31392.55000000109,34612.76000000101,31464.510000001093,35152.460000000916,30870.840000001044,38660.51000000061,39991.77000000048,43985.550000000076,53430.29999999906
QX-48VR-0UZS,13665.979999999929,13222.10999999993,12882.209999999934,11794.52999999994,11386.649999999943,10910.789999999946,10706.849999999946,13324.07999999993,10604.879999999946,10944.779999999944,11386.649999999941,11220.099999999944
Small_Pumpkin_8oz,43038.47000000008,32563.710000001087,40159.91000000036,50328.78999999939,53904.97999999906,55960.94999999888,54567.64999999906,66470.63999999818,55900.94999999894,61282.23999999839,48841.47999999957,49660.08999999947
Small_Pumpkin_8oz-stickerles,,,,,,,,,539.7300000000001,,19.99,219.89000000000001
VK-X3R0-SUNB,3028.9899999999934,5543.019999999974,3713.5499999999865,3548.5799999999886,2848.8599999999938,3998.3999999999864,3148.7399999999916,4148.339999999983,4723.109999999978,974.6100000000002,74.97,
ZK-QAIN-CGO2,2218.889999999999,3138.42999999999,4877.559999999971,6016.98999999996,6536.729999999953,8055.9699999999375,8695.649999999929,11174.409999999903,12613.689999999886,14392.799999999868,14892.549999999863,16211.889999999848
